"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.038305750E-1,2.843132019E-1,-2.281274796E-1,5.193734169E-1,6.345272964E-1
1.087430750E-1,2.753171921E-1,-2.214860916E-1,5.600476265E-1,6.622001125E-1
1.136547410E-1,2.104098797E-1,-1.806406975E-1,6.094384193E-1,6.695659535E-1
1.185655750E-1,1.008858681E-1,-1.050953865E-1,7.121663094E-1,7.269139226E-1
1.234773450E-1,-1.134037971E-2,-5.283308029E-2,8.181529045E-1,8.199354327E-1
1.283897930E-1,-1.655657291E-1,4.783821106E-2,9.571828842E-1,9.725736882E-1
1.333015120E-1,-1.186506748E-1,1.131548882E-1,9.169220924E-1,9.314655844E-1
1.382123450E-1,3.238415718E-2,1.384596825E-1,6.328005791E-1,6.485802882E-1
1.431240640E-1,-6.815028191E-2,2.243123055E-1,3.176069260E-1,3.947589527E-1
1.480365640E-1,-1.695187092E-1,2.197332382E-1,2.320632935E-1,3.617632664E-1
1.529482310E-1,-6.337046623E-2,1.583771706E-1,2.903771400E-1,3.367759309E-1
1.578590640E-1,-4.704856873E-2,9.960269928E-2,3.423275948E-1,3.596143040E-1
1.627708350E-1,-1.119992733E-1,8.860588074E-2,3.519649506E-1,3.798343925E-1
1.676833350E-1,-1.489045620E-1,4.940748215E-2,3.880963326E-1,4.186077295E-1
1.725950020E-1,-6.640386581E-2,-4.521560669E-2,4.709005356E-1,4.777041332E-1
1.775058350E-1,-6.725788116E-4,-1.220045090E-1,5.826177597E-1,5.952554128E-1
1.824175540E-1,6.955432892E-2,-1.609086990E-1,6.344690323E-1,6.582403566E-1
1.873300540E-1,8.153676987E-2,-1.700787544E-1,6.097912788E-1,6.382949407E-1
1.922417200E-1,1.299483776E-1,-1.689214706E-1,5.038795471E-1,5.470974704E-1
1.971525540E-1,1.325998306E-1,-1.364469528E-1,3.419356346E-1,3.913061004E-1
2.020643250E-1,8.848810196E-2,-1.124248505E-1,2.062287331E-1,2.509975728E-1
2.069767730E-1,5.012202263E-2,-7.291698456E-2,1.187920570E-1,1.481237881E-1
2.118884910E-1,4.551196098E-2,3.160953522E-3,5.928850174E-2,7.480946904E-2
2.167993250E-1,7.401561737E-2,1.199722290E-1,-4.781961441E-2,1.488568536E-1
2.217110430E-1,9.059739113E-2,2.491102219E-1,-1.411004066E-1,3.002883858E-1
2.266235430E-1,1.005642414E-1,3.373093605E-1,-2.749280930E-1,4.466276163E-1
2.315352100E-1,1.263647079E-1,3.227605820E-1,-4.574828148E-1,5.739625062E-1
2.364460430E-1,1.165583134E-1,2.989630699E-1,-5.288534164E-1,6.185876605E-1
2.413578140E-1,2.075705528E-1,2.732167244E-1,-4.661250114E-1,5.787965439E-1
2.462702620E-1,2.151877880E-1,2.566876411E-1,-2.578444481E-1,4.227033104E-1
2.511819810E-1,1.532247066E-1,2.227711678E-1,1.147985458E-2,2.706225988E-1
2.560928140E-1,1.561381817E-1,8.936214447E-2,2.426443100E-1,3.020612286E-1
2.610045330E-1,1.816713810E-1,-8.092975616E-2,4.600248337E-1,5.011755817E-1
2.659170330E-1,1.647038460E-1,-3.018956184E-1,6.615962982E-1,7.456393117E-1
2.708287000E-1,1.475441456E-1,-5.190563202E-1,8.665904999E-1,1.020866217E0
2.757395330E-1,5.925917625E-2,-6.785087585E-1,8.479833603E-1,1.087640366E0
2.806513040E-1,2.169032097E-1,-9.077517986E-1,6.032495499E-1,1.111292198E0
2.855637520E-1,5.786713362E-1,-1.036748648E0,4.882450104E-1,1.283780146E0
2.904754700E-1,4.127583504E-1,-9.506227970E-1,5.428724289E-1,1.169941722E0
2.953863040E-1,-8.555841446E-2,-6.841001511E-1,7.365016937E-1,1.008834974E0
3.002980230E-1,-3.364865780E-1,-3.994646072E-1,8.932371140E-1,1.034730753E0
3.052105230E-1,1.782379150E-1,-3.003196716E-1,9.282979965E-1,9.918154213E-1
3.101221890E-1,5.677024126E-1,-1.575980186E-1,1.181053162E0,1.319852164E0
3.150330230E-1,-1.111912727E-2,6.718969345E-2,1.297551155E0,1.299337173E0
3.199447930E-1,-3.712160587E-1,3.094658852E-1,1.539303780E0,1.613389792E0
3.248572410E-1,-5.594627857E-1,6.717138290E-1,2.429561615E0,2.582047195E0
3.297689600E-1,-6.655361652E-1,8.880195618E-1,2.214565277E0,2.477058032E0
3.346797930E-1,-6.098260880E-1,1.028035641E0,1.595427513E0,1.993523034E0
3.395915120E-1,-6.865713596E-1,1.161235332E0,8.699102402E-1,1.605176487E0
3.445040120E-1,-3.006229401E-1,1.066935539E0,-1.474342346E-1,1.118240784E0
3.494156790E-1,2.501049042E-1,7.501873970E-1,-1.007694721E0,1.280930226E0
3.543265120E-1,4.185404778E-1,3.693375587E-1,-1.263891220E0,1.381668332E0
3.592382830E-1,2.664012909E-1,-5.235958099E-2,-1.365767002E0,1.392490818E0
3.641507310E-1,1.347310543E-1,-3.175687790E-1,-1.100608826E0,1.153404601E0
3.690624500E-1,4.451298714E-2,-3.849315643E-1,-5.349779129E-1,6.605717845E-1
3.739732830E-1,-4.959893227E-2,-3.331856728E-1,-4.610252380E-2,3.399973372E-1
3.788850020E-1,-1.301841736E-1,-2.607254982E-1,1.380796432E-1,3.224774292E-1
3.837975020E-1,-5.314159393E-2,-2.479972839E-1,9.758853912E-2,2.717539417E-1
3.887091680E-1,6.983590126E-2,-2.582898140E-1,-1.430578232E-1,3.034076827E-1
3.936200020E-1,1.901575327E-1,-3.049416542E-1,-4.110441208E-1,5.459913634E-1
3.985317200E-1,2.426646948E-1,-3.398737907E-1,-5.737895966E-1,7.096723532E-1
4.034442200E-1,3.608198166E-1,-3.580126762E-1,-5.998835564E-1,7.862724067E-1
4.083559390E-1,6.181149483E-1,-3.943748474E-1,-6.896934509E-1,1.006615451E0
4.132667730E-1,8.873419762E-1,-5.235199928E-1,-9.251494408E-1,1.384684243E0
4.181784910E-1,7.593464851E-1,-9.560308456E-1,-1.413350582E0,1.867662156E0
4.230909910E-1,1.053859353E0,-1.448418379E0,-1.844371796E0,2.571039217E0
4.280026580E-1,1.496393919E0,-1.802771807E0,-2.082635403E0,3.134733030E0
4.329134910E-1,1.709492922E0,-1.944996834E0,-2.076374531E0,3.319142950E0
4.378252100E-1,2.208263397E0,-1.902172565E0,-1.567749977E0,3.309460332E0
4.427377100E-1,3.680659771E0,-1.631467581E0,-3.692760468E-1,4.042933046E0
4.476493770E-1,2.977281570E0,-1.270204544E0,5.450363159E-1,3.282482250E0
4.525602100E-1,1.930850029E0,-1.134505033E0,3.295392990E-1,2.263598828E0
4.574719810E-1,1.104003668E0,-1.130564928E0,-5.612783432E-1,1.676912202E0
4.623844290E-1,5.629589558E-1,-1.205102205E0,-1.253252029E0,1.827521480E0
4.672961480E-1,4.086948633E-1,-1.192221880E0,-2.356049538E0,2.671964432E0
4.722069810E-1,5.715306997E-1,-1.131914377E0,-3.137151718E0,3.383725521E0
4.771187000E-1,8.258547783E-1,-1.159442186E0,-3.597589970E0,3.868978662E0
4.820312000E-1,9.905794859E-1,-1.146845579E0,-3.762970448E0,4.056654914E0
4.869428660E-1,1.289926291E0,-1.142183542E0,-4.458265305E0,4.779604859E0
4.918537000E-1,1.446313858E0,-1.152423620E0,-5.088372231E0,5.414003688E0
4.967654700E-1,9.712942839E-1,-1.029681206E0,-4.511828423E0,4.728662780E0
5.016779180E-1,4.363318682E-1,-9.032571316E-1,-3.181427956E0,3.335827151E0
5.065896370E-1,1.041080952E-1,-7.863924503E-1,-2.095288754E0,2.240421064E0
5.115004700E-1,8.835446835E-2,-7.034494877E-1,-1.954058170E0,2.078699359E0
5.164121890E-1,1.885595322E-1,-6.827330589E-1,-2.105510235E0,2.221452785E0
5.213246890E-1,3.996620178E-1,-6.978771687E-1,-2.110388756E0,2.258429315E0
5.262363560E-1,6.807866096E-1,-7.794282436E-1,-2.173915863E0,2.407672938E0
5.311471890E-1,8.919620514E-1,-8.933885098E-1,-2.399862289E0,2.711656014E0
5.360589600E-1,1.060392618E0,-1.032156229E0,-2.646875858E0,3.032446338E0
5.409714080E-1,1.205983877E0,-1.164226055E0,-2.922090530E0,3.368743458E0
5.458830750E-1,1.367503881E0,-1.216001749E0,-3.180224419E0,3.669135385E0
5.507939600E-1,1.495307922E0,-1.242516279E0,-3.364682198E0,3.885984917E0
5.557056790E-1,1.561646938E0,-1.345977545E0,-3.525924683E0,4.084426714E0
5.606181790E-1,1.622099996E0,-1.520836115E0,-3.713967323E0,4.328706985E0
5.655298450E-1,1.769579172E0,-1.759288788E0,-3.902456999E0,4.632027430E0
5.704406790E-1,2.277759075E0,-2.048566103E0,-4.082279205E0,5.103901742E0
5.753523980E-1,2.369505405E0,-2.228475094E0,-4.462870598E0,5.522487762E0
5.802648980E-1,2.350673676E0,-2.331841946E0,-4.891201496E0,5.906522299E0
5.851765640E-1,2.461966276E0,-2.365294456E0,-5.059049606E0,6.103267873E0
5.900873980E-1,2.474007130E0,-2.352648735E0,-5.047397137E0,6.093593784E0
5.949991680E-1,2.310374260E0,-2.289289951E0,-4.872441292E0,5.858272940E0
5.999116160E-1,1.868399620E0,-2.177979946E0,-4.619047165E0,5.437840610E0
6.048233350E-1,1.302357793E0,-2.014676571E0,-4.345066071E0,4.963331206E0
6.097341680E-1,6.969610453E-1,-1.785640240E0,-4.155284405E0,4.576095961E0
6.146458870E-1,2.789384127E-1,-1.527238846E0,-3.908942461E0,4.205959616E0
6.195583870E-1,2.717030048E-2,-1.282957554E0,-3.618010521E0,3.838843373E0
6.244700540E-1,2.021193504E-3,-1.131554127E0,-3.287071705E0,3.476385942E0
6.293808870E-1,1.175272465E-1,-1.063080072E0,-3.134175301E0,3.311647129E0
6.342926580E-1,3.885738850E-1,-1.095933199E0,-3.197591782E0,3.402448007E0
6.392051060E-1,7.237918377E-1,-1.260163546E0,-3.225579739E0,3.537831460E0
6.441168250E-1,9.733938575E-1,-1.367112637E0,-3.317560196E0,3.717888946E0
6.490276580E-1,1.411214352E0,-1.397676468E0,-3.836197615E0,4.319888609E0
6.539393770E-1,1.922586918E0,-1.425336003E0,-4.232069016E0,4.861926710E0
6.588518770E-1,2.269310236E0,-1.347438574E0,-4.283101082E0,5.030935751E0
6.637635430E-1,2.369217157E0,-1.289993882E0,-4.260662079E0,5.042867786E0
6.686743770E-1,2.421127796E0,-1.278364182E0,-4.346025944E0,5.136537383E0
6.735860950E-1,2.424907446E0,-1.319042563E0,-4.217677116E0,5.040719161E0
6.784985950E-1,2.202371120E0,-1.376186609E0,-3.791481495E0,4.595613132E0
6.834102620E-1,1.778550506E0,-1.421707153E0,-3.104923725E0,3.850330436E0
6.883210950E-1,1.220933199E0,-1.356428981E0,-2.413782120E0,3.026040578E0
6.932328660E-1,5.352215767E-1,-1.267787814E0,-1.767384529E0,2.239954498E0
6.981453660E-1,-1.881901175E-1,-1.152162910E0,-1.069869518E0,1.583513712E0
7.030570330E-1,-7.985530496E-1,-1.126673222E0,-3.688526154E-1,1.429381605E0
7.079678660E-1,-1.171770573E0,-1.178819418E0,1.837444305E-1,1.672251031E0
7.128795850E-1,-1.311793327E0,-1.329277992E0,4.584569931E-1,1.923009238E0
7.177920850E-1,-1.297375798E0,-1.602893591E0,3.551020622E-1,2.092498339E0
7.227037520E-1,-1.241974115E0,-1.941006064E0,-5.714082718E-2,2.305052997E0
7.276145850E-1,-1.234307408E0,-2.277806759E0,-6.241974831E-1,2.664871649E0
7.325263560E-1,-1.201116920E0,-2.559638977E0,-1.326273441E0,3.123048957E0
7.374388040E-1,-1.136816740E0,-2.733161926E0,-1.827489853E0,3.478828190E0
7.423505230E-1,-7.705595493E-1,-2.886207819E0,-2.652470589E0,3.994941529E0
7.472613560E-1,-1.068581939E-1,-2.918852091E0,-3.121447086E0,4.274874047E0
7.521730750E-1,7.820789218E-1,-2.958780766E0,-2.958452225E0,4.256579686E0
7.570855750E-1,1.488000631E0,-2.841209650E0,-2.055547714E0,3.809448065E0
7.619972410E-1,1.742029190E0,-2.514963150E0,-5.454888344E-1,3.107613781E0
7.669080750E-1,1.486824870E0,-2.086144447E0,1.266389847E0,2.857689643E0
7.718198450E-1,9.165582061E-1,-1.638602018E0,3.060155392E0,3.590215389E0
7.767322930E-1,3.531687260E-1,-1.222111464E0,4.570126534E0,4.743874061E0
7.816440120E-1,-1.424468756E-1,-8.926104307E-1,5.360630035E0,5.436303787E0
7.865548450E-1,-4.379857779E-1,-5.981581807E-1,5.378806114E0,5.429657445E0
7.914665640E-1,-4.637742043E-1,-5.248420835E-1,4.747583866E0,4.798968461E0
7.963790640E-1,-3.904162645E-1,-5.360465050E-1,3.833857536E0,3.890788394E0
8.012907310E-1,-2.625960112E-1,-6.338922381E-1,3.073613644E0,3.149266084E0
8.062015640E-1,-1.413064003E-1,-8.107255697E-1,2.560296059E0,2.689304623E0
8.111132830E-1,1.551806927E-2,-1.151435137E0,2.232567310E0,2.512051050E0
8.160257830E-1,1.654353142E-1,-1.587833524E0,1.898934841E0,2.480834068E0
8.209374500E-1,3.140878677E-1,-1.956703186E0,1.423880577E0,2.440240653E0
8.258483350E-1,3.869907856E-1,-2.212165833E0,7.416558266E-1,2.365056639E0
8.307600540E-1,3.631200790E-1,-2.327760935E0,9.555816650E-4,2.355913427E0
8.356725540E-1,3.309859037E-1,-2.329479694E0,-7.051086426E-1,2.456258438E0
8.405842200E-1,3.425642252E-1,-2.243278742E0,-1.264868259E0,2.597987967E0
8.454950540E-1,2.988464832E-1,-2.128266811E0,-1.648047447E0,2.708300063E0
8.504067730E-1,1.977870464E-1,-1.945872903E0,-1.731514454E0,2.612218095E0
8.553192730E-1,3.387570381E-2,-1.727105141E0,-1.359377384E0,2.198168920E0
8.602309390E-1,-1.895759106E-1,-1.481648803E0,-7.430505753E-1,1.668336404E0
8.651417730E-1,-6.783881783E-1,-1.119223356E0,-3.563213348E-2,1.309252111E0
8.700535430E-1,-1.141559362E0,-7.358542681E-1,6.486549377E-1,1.505122091E0
8.749659910E-1,-1.489305735E0,-2.986651659E-1,1.424692631E0,2.082542087E0
8.798777100E-1,-1.692899942E0,1.655864716E-1,1.951951504E0,2.589100957E0
8.847885430E-1,-1.738719463E0,5.944855213E-1,2.205829144E0,2.870930270E0
