"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.444402000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.945266500E-2,7.179468870E-3,3.611564636E-3,-4.786491394E-3,9.354072495E-3
4.446167600E-2,-1.601718366E-3,8.819162846E-3,-6.381034851E-3,1.100276060E-2
4.947068602E-2,-6.592247635E-3,3.053784370E-3,2.398490906E-3,7.650887954E-3
5.447954000E-2,6.213366985E-3,-5.185425282E-3,7.667541504E-3,1.114835223E-2
5.948839500E-2,-1.078755409E-2,-6.282329559E-3,-5.578994751E-3,1.367348420E-2
6.449735300E-2,-1.042976975E-3,-7.402002811E-3,-6.761550903E-4,7.505640033E-3
6.950631100E-2,-5.107223988E-3,-2.251386642E-3,7.791519165E-3,9.584375283E-3
7.451521700E-2,-4.544775933E-3,-4.093110561E-3,2.671241760E-3,6.674134767E-3
7.952412400E-2,-4.095382988E-3,4.971623421E-3,1.964378357E-2,2.067286710E-2
8.453308200E-2,-3.728214651E-3,-1.972615719E-3,6.978988647E-3,8.154574164E-3
8.954204000E-2,-7.811889052E-3,2.618312836E-3,8.594512939E-3,1.190574758E-2
9.455094700E-2,-7.216192782E-3,-4.175305367E-3,-9.743690491E-3,1.282365461E-2
9.955985300E-2,-4.482913762E-3,2.773761749E-3,4.290580750E-3,6.797010608E-3
1.045688110E-1,-1.318386942E-2,1.156485081E-2,2.188110352E-2,2.804180590E-2
1.095777700E-1,-1.017407328E-2,-4.831135273E-3,9.292602539E-3,1.460151010E-2
1.145867280E-1,-6.249286234E-4,-1.966953278E-6,-2.518653870E-3,2.595025427E-3
1.195956860E-1,-7.436092943E-3,-4.485487938E-3,-1.142120361E-2,1.434778632E-2
1.246046450E-1,-2.513896674E-3,-8.746981621E-3,5.059242249E-3,1.041274681E-2
1.296136030E-1,6.588790566E-3,-8.270859718E-3,-6.565093994E-3,1.244667589E-2
1.346225610E-1,6.215460598E-3,1.268243790E-2,-1.689910889E-3,1.422434463E-2
1.396315200E-1,-5.498833954E-3,3.003776073E-3,-3.895759583E-3,7.378129050E-3
1.446404780E-1,-3.033157438E-3,6.222128868E-4,-1.435279846E-3,3.412802537E-3
1.496494360E-1,-2.912193537E-3,-3.953337669E-3,-5.961418152E-3,7.723228360E-3
1.546583950E-1,-1.658755913E-2,-3.756284714E-3,1.036834717E-2,1.991882064E-2
1.596673530E-1,2.406399697E-3,5.576908588E-3,3.063201904E-3,6.802637342E-3
1.646763110E-1,1.147516817E-2,-1.506626606E-3,-6.271362305E-3,1.316356310E-2
1.696852700E-1,1.105988771E-2,-8.339345455E-3,-1.296997070E-2,1.897593051E-2
1.746942280E-1,-3.254756331E-3,-3.330707550E-3,1.291084290E-2,1.372504702E-2
1.797031860E-1,1.421846449E-3,3.762364388E-3,-6.032943726E-3,7.250754658E-3
1.847121450E-1,-1.490263268E-2,3.680229187E-3,3.432273865E-3,1.572936908E-2
1.897211030E-1,-2.842377871E-3,-1.494973898E-2,3.327369690E-3,1.557707279E-2
1.947300610E-1,1.884981990E-3,4.114985466E-3,5.550384521E-3,7.161915304E-3
1.996725610E-1,1.344612986E-2,1.709103584E-3,1.003646851E-2,1.686564980E-2
2.045841760E-1,6.021715701E-3,6.350457668E-3,5.101203918E-3,1.012974106E-2
