"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.100458333E-3,-8.271892262E-1,4.038163143E-1,5.045340192E-1,1.049697198E0
1.405745833E-2,-4.868347898E-1,2.236425501E-1,-6.938306093E-3,5.357912307E-1
2.401545833E-2,-2.292769271E-1,-3.951957643E-2,-4.682508767E-1,5.228657473E-1
3.397245833E-2,-2.920973656E-1,-5.343554038E-1,-9.956334758E-1,1.167108644E0
4.393045833E-2,-6.564429277E-1,-5.621068740E-1,-1.046894261E0,1.357523130E0
5.388745833E-2,-1.012229336E0,-2.135753989E-2,-1.025028014E0,1.440745224E0
6.384545832E-2,-1.280066311E0,3.937930173E-1,-9.287039065E-1,1.629764905E0
7.380245833E-2,-1.499568155E0,4.740016133E-1,-7.126451951E-1,1.726628320E0
8.376045834E-2,-1.598941001E0,3.471784294E-1,-6.000582272E-1,1.742760759E0
9.371745834E-2,-1.289739652E0,1.844568497E-1,-6.419792551E-1,1.452442792E0
1.036754583E-1,-6.883228245E-1,-8.580379665E-2,-7.463526392E-1,1.018917496E0
1.136324583E-1,-1.530862454E-1,-2.997218424E-1,-8.182219362E-1,8.847348293E-1
1.235904583E-1,2.011988899E-1,-2.842197043E-1,-7.785754752E-1,8.529018726E-1
1.335472083E-1,2.788791499E-1,-5.529185593E-2,-6.968319851E-1,7.525992194E-1
1.435052083E-1,2.486964074E-1,-4.159826159E-2,-4.662622386E-1,5.300762149E-1
1.534622083E-1,1.623116899E-1,-6.140570462E-2,-2.670189500E-1,3.184570063E-1
1.634192083E-1,4.505425841E-2,1.343415338E-1,-1.714567351E-1,2.224296426E-1
1.733772083E-1,-8.906917423E-2,2.223240030E-1,-4.854241490E-2,2.443719422E-1
1.833342083E-1,-6.150013715E-1,2.238358006E-1,1.306250435E-1,6.673769958E-1
1.932922083E-1,-1.446006198E0,3.424202576E-1,2.828380072E-1,1.512674088E0
2.032492083E-1,-1.763823711E0,5.070337039E-1,4.162340462E-1,1.881862918E0
2.132072083E-1,-1.798794446E0,7.996558571E-1,4.610740042E-1,2.021806170E0
2.231642083E-1,-2.001898944E0,1.347751341E0,1.048263679E0,2.631138498E0
2.331222083E-1,-1.942900830E0,1.436463250E0,-2.231239021E-2,2.416358448E0
2.430792083E-1,-1.115235348E0,4.846707353E-1,-5.548937488E-1,1.336623611E0
2.530372083E-1,-2.200275090E-1,-4.496508837E-1,-5.065530628E-1,7.121755594E-1
2.629942083E-1,4.686970192E-1,-7.450788233E-1,-1.271196377E-1,8.893698618E-1
2.729522083E-1,1.073661645E0,-3.909653038E-1,3.446957016E-1,1.193489976E0
2.829092083E-1,1.218548340E0,-2.522944915E-1,6.635379392E-1,1.410246490E0
2.928672083E-1,9.979288003E-1,-3.986228174E-1,7.247559482E-1,1.296160957E0
3.028242083E-1,5.464342895E-1,4.842342407E-2,3.134031576E-1,6.317885722E-1
3.127822083E-1,1.620751700E-1,4.946840921E-1,-1.202398038E-1,5.342642812E-1
3.227392083E-1,-3.508993050E-1,7.006414461E-1,-8.741201484E-1,1.173931340E0
3.326972083E-1,-5.868154532E-1,8.522764125E-1,-1.448483371E0,1.780121214E0
3.426542083E-1,-2.096946019E-1,5.305664080E-1,-1.586282364E0,1.685753326E0
3.526122083E-1,1.712798569E-1,2.706945097E-1,-1.397986232E0,1.434216794E0
3.625692083E-1,4.342118955E-1,-1.684401566E-1,-8.893772882E-1,1.003944230E0
3.725262083E-1,3.879069176E-1,-4.594809303E-1,-5.974223024E-1,8.476484586E-1
3.824842083E-1,9.232285738E-2,1.497945553E-1,-2.874619853E-1,3.370405195E-1
3.924412083E-1,-4.230489761E-2,-2.852827281E-1,-3.209717935E-1,4.315076263E-1
4.023992083E-1,7.508324835E-1,2.712306994E-1,-3.628337646E-1,8.769058394E-1
4.123562083E-1,4.775020489E-1,-6.638571972E-1,-1.071209908E-1,8.247360133E-1
4.223142083E-1,-9.638988823E-2,-8.519779122E-1,-7.042772448E-1,1.109578213E0
