Time (s),Acceleration (m/s²)
0.02750120834,-0.04459846795
0.06736520834,-0.05852010369
0.1072302083,-0.07483675897
0.1470952083,-0.06091512322
0.1869592083,-0.05313130975
0.2268242083,-0.0637586242
0.2666892083,-0.06884394765
0.3065532083,-0.07228561878
0.3464182083,-0.07932098866
0.3862832083,-0.05327339709
0.4261472083,-0.04578954577
0.4660122083,-0.05851425648
0.5058772083,-0.0740836376
0.5457412083,-0.06809667349
0.5856062083,-0.07108986318
0.6254712083,-0.06315343738
0.6653352083,-0.06330195665
0.7052002083,-0.07093725085
0.7450652083,-0.0751302892
0.7849292083,-0.0630049181
0.8247942083,-0.0662939769
0.8646592083,-0.05386864364
0.9045232083,-0.06419775009
0.9443882083,-0.05626190901
0.9842524583,-0.06973447859
1.024117458,-0.05730914533
1.063982458,-0.06134781718
1.103846458,-0.07332057595
1.143711458,-0.06404104471
1.183576458,-0.05655894756
1.223440458,-0.02152944803
1.263305458,-0.06867671728
1.303170458,-0.03454768896
1.343034458,-0.01628683448
1.382899458,-0.02826544046
1.422763458,-0.05566023052
1.462628458,-0.07272415996
1.502493458,-0.07811236918
1.542357458,-0.03799696147
1.582222458,-0.04293435037
1.622087458,-0.06463979959
1.661951458,-0.07032914042
1.701816458,-0.08185751081
1.741680458,-0.06104960918
1.781545458,-0.03649890482
1.821410458,-0.0429378587
1.861274458,-0.06778150856
1.901139458,-0.08589618266
1.941003458,-0.07482038677
1.980868542,-0.05910131693
2.020733542,-0.04996913552
2.060597542,-0.04712212622
2.100462542,-0.0743631345
2.140326542,-0.09097507417
2.180191542,-0.05729452729
2.220056542,-0.02211709321
2.259920542,-0.04127608001
2.299785542,-0.07510631561
2.339649542,-0.08199141204
2.379514542,-0.09321748137
2.419379542,-0.04561705291
2.459243542,-0.03348758876
2.499108542,-0.04800505579
2.538972542,-0.092166152
2.578837542,-0.08438233852
2.618702542,-0.05189754725
2.658566542,-0.01626987755
2.698431542,-0.04321267784
2.738295542,-0.08886715293
2.778160542,-0.1018877327
2.818025542,-0.07913329303
2.857889542,-0.0423086983
2.897754542,-0.03437402666
2.937618542,-0.07807845533
2.977483167,-0.09214744091
3.017347167,-0.08541144848
3.057212167,-0.02823269606
3.097077167,-0.03392203689
3.136941167,-0.05413293779
3.176806167,-0.1176021248
3.216670167,-0.09365017533
3.256535167,-0.07868364215
3.296400167,-0.009977688789
3.336264167,-0.03722337484
3.376129167,-0.09335956872
3.415993167,-0.09336424649
3.455858167,-0.07615413666
3.495722167,-0.04008032441
3.535587167,-0.03274733126
3.575452167,-0.06837207735
3.615316167,-0.08334445775
3.655181167,-0.085143646
3.695045167,-0.0460748899
3.734910167,-0.03050843239
3.774774167,-0.03604749978
3.814639167,-0.09023423195
3.854503167,-0.1017602634
3.894368167,-0.06553617775
3.934233167,-0.04293025732
3.974097292,-0.03409628391
4.013962292,-0.06028947115
4.053826292,-0.09950557709
4.093691292,-0.08722642422
4.133555292,-0.0292939657
4.173420292,-0.02839758754
4.213284292,-0.06656996548
4.253149292,-0.1092341745
4.293014292,-0.09232051849
4.332878292,-0.04875759244
4.372743292,-0.01118572354
4.412607292,-0.03722980678
4.452472292,-0.06596711755
4.492336292,-0.08991614342
4.532201292,-0.05698404014
4.572065292,-0.08018696129
4.611930292,-0.03498213708
4.651794292,-0.04231629968
4.691659292,-0.06986136317
4.731524292,-0.07779252648
4.771388292,-0.09575458825
4.811253292,-0.04785302818
4.851117292,-0.06880769491
4.890982292,-0.03796947956
4.930846292,-0.06715585649
4.970711458,-0.08092897296
5.010575458,-0.06251784503
5.050440458,-0.05727873981
5.090304458,-0.0536885494
5.130169458,-0.06865800619
5.170033458,-0.07165236533
5.209898458,-0.06446496785
5.249763458,-0.05623150349
5.289627458,-0.06985317707
5.329492458,-0.0599737215
5.369356458,-0.0635662508
5.409221458,-0.06206819415
5.449085458,-0.07224585772
5.488950458,-0.0643117708
5.528814458,-0.07194531083
5.568679458,-0.06895036697
5.608543458,-0.05892531574
5.648408458,-0.05323655963
5.688272458,-0.05877445757
5.728137458,-0.06670737505
5.768001458,-0.07165061116
5.807866458,-0.07344512165
5.847730458,-0.06641092122
5.887595458,-0.06117123127
5.927459458,-0.0680563277
5.967324458,-0.06880418658
6.007188292,-0.05847332597
6.047053292,-0.05413001418
6.086918292,-0.06161503494
6.126782292,-0.0626634407
6.166647292,-0.05712788165
6.206511292,-0.05937262774
6.246376292,-0.05518309772
6.286240292,-0.07583780229
6.326105292,-0.07269141555
6.365969292,-0.06385919631
6.405834292,-0.0538294673
6.445698292,-0.0686474812
6.485563292,-0.06295872509
6.525427292,-0.06370599926
6.565292292,-0.06625187695
6.605156292,-0.077478531
6.645021292,-0.06415681958
6.684885292,-0.06206293166
6.724750292,-0.05488138139
6.764614292,-0.06086893022
6.804479292,-0.07628745317
6.844343292,-0.07059986651
6.884208292,-0.05563040972
6.924072292,-0.05952290118
6.963937292,-0.06491169512
7.003801667,-0.05428379595
7.043666667,-0.05398266435
7.083530667,-0.05802367508
7.123395667,-0.07164417922
7.163259667,-0.06969530225
7.203124667,-0.06041460156
7.242988667,-0.07553199291
7.282853667,-0.06176413894
7.322717667,-0.05922235429
7.362582667,-0.04455461383
7.402446667,-0.06626591027
7.442310667,-0.07211137176
7.482175667,-0.04980716765
7.522039667,-0.06327915251
7.561904667,-0.07241016448
7.601768667,-0.05474689543
7.641633667,-0.06537245572
7.681497667,-0.1008445895
7.721362667,-0.07195232749
7.761226667,-0.02973835409
7.801091667,-0.0773265034
7.840955667,-0.06474914253
7.880820667,-0.05486676335
7.920684667,-0.07791590273
7.960549667,-0.06444216371
8.000413917,-0.07192601502
8.040278917,-0.04153862
8.080142917,-0.07626347959
8.120007917,-0.05860196471
8.159871917,-0.08240656435
8.199736917,-0.07821528018
8.239600917,-0.04948030829
8.279465917,-0.07133603096
8.319329917,-0.06639805734
8.359193917,-0.07013969064
8.399058917,-0.06534789741
8.438922917,-0.05906447947
8.478787917,-0.07807670116
8.518651917,-0.06595659256
8.558516917,-0.06296340287
8.598380917,-0.06715468705
8.638245917,-0.06416208208
8.678109917,-0.06281605303
8.717974917,-0.06116713822
8.757838917,-0.07883040726
8.797703917,-0.07074838579
8.837567917,-0.0649111104
8.877431917,-0.0577231282
8.917296917,-0.06924974442
8.957160917,-0.05817511797
8.997024792,-0.06416149735
9.036888792,-0.06490877151
9.076753792,-0.05442997634
9.116617792,-0.06341246903
9.156482792,-0.06551045001
9.196346792,-0.05203846514
9.236211792,-0.06476259112
9.276075792,-0.06670854449
9.315940792,-0.07075189412
9.355804792,-0.05937321246
9.395668792,-0.05592744827
9.435533792,-0.06146826982
9.475397792,-0.06251609087
9.515262792,-0.05907266557
9.555126792,-0.06236757159
9.594991792,-0.06027251422
9.634855792,-0.05473461628
9.674720792,-0.05443640828
9.714584792,-0.0656648165
9.754448792,-0.06731197715
9.794313792,-0.07614127278
9.834177792,-0.07598749101
9.874042792,-0.07179094434
9.913906792,-0.07328490794
9.953771792,-0.11400024
9.993636083,-0.1009749824
10.03350108,-0.05487027168
10.07336508,-0.06459419131
10.11322908,-0.04543052673
10.15309408,-0.05366048276
10.19295808,-0.04752499938
10.23282308,-0.143024649
10.27268708,-0.3492951214
10.31255208,-0.5052672601
10.35241608,-0.6417810345
10.39228108,-0.6512085003
10.43214508,-0.5919300127
10.47200908,-0.4435855669
10.51187408,-0.3917938542
10.55173808,-0.4088560295
10.59160308,-0.52366377
10.63146708,-0.6532953715
10.67133208,-0.6742500383
10.71119608,-0.6465564555
10.75106108,-0.579791193
10.79092508,-0.5320410758
10.83078908,-0.4874338371
10.87065408,-0.6553828275
10.91051808,-0.5649679166
10.95038308,-0.6139137894
10.99024692,-0.6079250711
11.03011192,-0.5802303189
11.06997592,-0.5937023038
11.10983992,-0.5820254141
11.14970492,-0.6293258804
11.18956892,-0.6493824148
11.22943392,-0.6308227676
11.26929792,-0.596396116
11.30916292,-0.53322923
11.34902692,-0.1729302335
11.38889092,0.008186686635
11.42875592,0.05668817103
11.46861992,0.001305098534
11.50848492,-0.05662735999
11.54834892,-0.1353671354
11.58821292,-0.1551201993
11.62807792,-0.08730886996
11.66794192,-0.09389517367
11.70780692,-0.02398820221
11.74767092,-0.0001888650656
11.78753492,-0.07533260286
11.82739992,-0.03252162874
11.86726392,-0.1307127517
11.90712892,-0.1319120157
11.94699292,-0.0655969888
11.98685971,-0.05242321193
12.02672371,-0.06888663232
12.06658771,-0.02981670678
12.10645271,-0.04044226706
12.14631671,-0.1064532387
12.18618171,-0.0241232729
12.22604571,-0.06782770157
12.26590971,-0.08324447036
12.30577471,-0.0486669606
12.34563871,-0.07067061782
12.38550371,-0.04671983778
12.42536771,-0.02516641617
12.46523171,-0.1197743654
12.50509671,-0.08923260391
12.54496071,-0.07919936657
12.58482571,-0.07665524304
12.62468971,-0.07126294076
12.66455371,-0.04446456671
12.70441871,-0.0348850733
12.74428271,-0.06736811042
12.78414771,-0.04356584966
12.82401171,-0.07650321543
12.86387571,-0.06602909803
12.90374071,-0.03923364758
12.94360471,-0.09043011367
12.98346842,-0.02232349992
13.02333242,-0.06707691908
13.06319642,-0.03638663828
13.10306142,-0.08339006603
13.14292542,-0.06153843641
13.18279042,-0.07111909926
13.22265442,-0.07350944102
13.26251942,-0.07126294076
13.30238342,-0.0666220057
13.34224742,-0.09805839121
13.38211242,-0.086382671
13.42197642,-0.1026923096
13.46184142,-0.05763425052
13.50170542,-0.06661674321
13.54157042,-0.0336863941
13.58143442,-0.05059829593
13.62129942,-0.07978701174
13.66116342,-0.102391178
13.70102742,-0.006440708041
13.74089242,-0.1169103992
13.78075642,-0.05314475834
13.82062142,-0.02530207157
13.86048542,-0.06990931034
13.90035042,-0.04536152959
13.94021442,-0.0419128418
13.98007967,-0.1161572778
14.01994367,-0.02649197996
14.05980867,-0.02559384763
14.09967267,-0.1118127966
14.13953767,-0.04894177973
14.17940167,-0.009274853468
14.21926567,-0.08037582636
14.25913067,-0.04444994867
14.29899467,-0.01181546867
14.33885967,-0.1025262487
14.37872367,-0.04295072258
14.41858867,-0.07543492913
14.45845267,-0.04893710196
14.49831767,-0.05971527457
14.53818167,-0.07782760978
14.57804667,-0.03695966542
14.61791067,-0.04683795154
14.65777467,-0.06914040148
14.69763967,-0.07078873158
14.73750367,-0.08127045035
14.77736867,-0.09159838736
14.81723267,-0.07034317374
14.85709767,0.01363395274
14.89696167,-0.05327339709
14.93682567,-0.04339101791
14.97669067,-0.03740288436
15.01655458,-0.05850782454
15.05641958,-0.1026648277
15.09628358,-0.04682508767
15.13614858,-0.05385636449
15.17601258,-0.09951025486
15.21587658,-0.1158245713
15.25574158,-0.0284046042
15.29560558,-0.063582623
15.33547058,-0.08363974214
15.37533458,-0.04247125089
15.41519958,-0.0933619076
15.45506358,-0.07704642177
15.49492758,-0.08737494349
15.53479258,-0.02345785975
15.57465658,-0.03947689176
15.61452158,-0.05728575647
15.65438558,-0.05279334068
15.69424958,-0.1002475888
15.73411458,-0.08483257413
15.77397858,-0.04965689421
15.81384358,-0.08213876188
15.85370758,-0.05668992519
15.89357158,-0.06746809781
15.93343658,-0.05983514249
15.97330058,-0.0399253732
16.01316521,-0.0563917172
16.05302921,-0.05878556728
16.09289321,-0.09575985074
16.13275821,0.00543147862
16.17262221,-0.01252882898
16.21248721,-0.07869065881
16.25235121,-0.05384525478
16.29221521,-0.05504334927
16.33208021,-0.09905007899
16.37194421,-0.07330420375
16.41180921,-0.06147704065
16.45167321,-0.003995987177
16.49153721,-0.009982951283
16.53140221,-0.07599743128
16.57126621,-0.03812676966
16.61113121,-0.03932310998
16.65099521,-0.08482965052
16.69085921,-0.05923404872
16.73072421,-0.03708245695
16.77058821,-0.05264599085
16.81045221,-0.04875291467
16.85031721,-0.04680520713
16.89018121,-0.08048750818
16.93004621,-0.07225930631
16.96991021,-0.02914778531
17.00977433,-0.07929409146
17.04963933,-0.06133319914
17.08950333,-0.07420642912
17.12936733,-0.0676224643
17.16923233,-0.06567768037
17.20909633,-0.07121616304
17.24896133,-0.06717456758
17.28882533,-0.07720605075
17.32868933,-0.07436254978
17.36855433,-0.06808088601
17.40841833,-0.08784038186
17.44828233,-0.07497066021
17.48814733,-0.07841174662
17.52801133,-0.08230599225
17.56787633,-0.05431712508
17.60774033,-0.09832560897
17.64760433,-0.06060463607
17.68746933,-0.05431420147
17.72733333,-0.09577797711
17.76719733,-0.04652921855
17.80706233,-0.03515287578
17.84692633,-0.04443299174
17.88679033,-0.04054225445
17.92665533,-0.1282621837
17.96651933,-0.05086960673
18.00638471,-0.05581050396
18.04624871,-0.1095458311
18.08611271,-0.03245613992
18.12597771,-0.02586808205
18.16584171,-0.0236245054
18.20570571,-0.1017637718
18.24557071,-0.04428447247
18.28543471,-0.09547743022
18.32529871,-0.1052083665
18.36516371,-0.06509412825
18.40502771,-0.07796969712
