Time (s),Pressure (hPa),Altitude (m),Time (velocity) (s),Velocity (m/s)
-0.5380940833,977.7623749,0,-0.02334858333,-0.005715611987
0.4913969167,977.7630615,-0.0058841711,1.006138917,-0.006350719361
1.520880917,977.7638245,-0.01242213507,2.035611917,-0.04128046017
2.550342917,977.7687836,-0.05491880015,3.065092417,-0.02032189542
3.579841917,977.771225,-0.07584017116,3.678249917,0
3.776657917,977.771225,-0.07584017116,4.308010917,-0.005536929294
4.839363917,977.7719116,-0.08172429915,5.370727917,-0.01045841911
5.902091917,977.7732086,-0.09283875398,6.433441417,-0.0006152175557
6.964790917,977.7732849,-0.09349254506,7.496152417,0
8.027513917,977.7732849,-0.09349254506,8.558873417,-0.001845617727
9.090232917,977.7735138,-0.09545391808,9.621611417,-0.009227753391
10.15298992,977.7746582,-0.1052607776,10.68436242,-0.1107336089
11.21573492,977.7883911,-0.2229423668,11.74710142,-0.2319239301
12.27846792,977.8171539,-0.4694155809,12.80981592,-0.3291247959
13.34116392,977.8579712,-0.819175185,13.87251292,-0.4392250302
14.40386192,977.9124451,-1.285938746,14.93522742,-0.557905233
15.46659292,977.9816437,-1.878841932,15.99792692,-0.5468346434
16.52926092,978.049469,-2.459945609,17.06059492,-0.5222014967
17.59192892,978.1142426,-3.014872429,18.12325842,-0.5363236921
18.65458792,978.1807709,-3.584801628,19.18595342,-0.5405625262
19.71731892,978.2478333,-4.159274182,20.24869142,-0.5208480967
20.78006392,978.3124542,-4.712802892,21.31143442,-0.532505024
21.84280492,978.3785248,-5.278717814,22.37417442,-0.4402485827
22.90554392,978.4331512,-5.746587152,,
